CHECKPOINT_ID	FILE_NAME	SEED	EPOCH	SHA256	TRAINING_COMMIT	SELECTION_POLICY	CANONICAL_STATUS	SCIENTIFIC_ROLE	USED_BY	STORAGE	PUBLICLY_AVAILABLE	NOTES
fulllexicon_93a577f_seed19_e155	seed_19_epoch_0155.pt	19	155	7d05f9c2ad5a53e705f7d55ccde2581754918938d8ca888da35c0a859666478e	93a577fd9822955fa272ee733fa7e2acf81f1333	X=5 (also selected under X=2)	CANONICAL	canonical full-lexicon repetition model	ventral semantic + RSA (Phase B/C); behavioral WFE 4-seed cohort; frozen naming/comprehension probe	archives/fulllexicon_93a577f/extracted/fulllexicon_final_bundle_93a577f/selected_checkpoints/	no	zero streak epochs 155-180 (length 6); hash verified against bundle_files.sha256 and recomputed in Phase 0B
fulllexicon_93a577f_seed22_e140	seed_22_epoch_0140.pt	22	140	a15846cbf3c7df88ed289512bbb20cbefd2121d0deec1b39f363932a743da595	93a577fd9822955fa272ee733fa7e2acf81f1333	X=5 (also selected under X=2)	CANONICAL	canonical full-lexicon repetition model; sole source checkpoint for all Phase 2/3 warm-start work	ventral semantic + RSA; behavioral WFE 4-seed cohort; frozen probe; Phase 2 acquisition; Phase 3A/3B/3C	archives/fulllexicon_93a577f/extracted/fulllexicon_final_bundle_93a577f/selected_checkpoints/	no	zero streak epochs 140-200 (length 13); hash verified in Phase 0B and independently recorded as provenance.source_checkpoint_sha256 by all 12 retained Phase 2/3 runs
fulllexicon_93a577f_seed20_e130	seed_20_epoch_0130.pt	20	130	b44548b6916ea89c6f099402b78031063445e572932acee8dd7558a73dfc6cfb	93a577fd9822955fa272ee733fa7e2acf81f1333	X=2 (historical)	HISTORICAL_NONCANONICAL	historical multi-seed robustness cohort member	behavioral WFE release (F1-F7, S1-S12); frozen naming/comprehension probe cohort	archives/fulllexicon_93a577f/extracted/fulllexicon_final_bundle_93a577f/selected_checkpoints/	no	zero streak epochs 130-135 (length 2); fails the current X=5 criterion; NOT a canonical model
fulllexicon_93a577f_seed21_e145	seed_21_epoch_0145.pt	21	145	ab58092e7c2bfac42ab977352e6d5d6416ca605b71a3eacb777300060b30f5cf	93a577fd9822955fa272ee733fa7e2acf81f1333	fallback: earliest minimum-error checkpoint (historical)	HISTORICAL_NONCANONICAL	historical multi-seed robustness cohort member	behavioral WFE release (F1-F7, S1-S12); frozen naming/comprehension probe cohort	archives/fulllexicon_93a577f/extracted/fulllexicon_final_bundle_93a577f/selected_checkpoints/	no	never reached zero errors (best 1 error, exact_match 0.999966); qualifies under no value of X; NOT a canonical model
phase3a_local_multitask_step400k	final_step_400000.pt	22	n/a (400,000 optimizer steps)	5f3a6634e4404e256135a04b728324a0e44b31047f7a4a5e91089ca3484c86f7	93a577fd9822955fa272ee733fa7e2acf81f1333	derived (not selected by any criterion)	DERIVED_NONCANONICAL	Phase 3A local interleaved multitask endpoint	MT Fig 1 (continuous 0-780k trajectory reading)	outputs/naming_comprehension_93a577f/phase3a_multitask_123_subset3288_seed22/	no	adaptation commit c56355cd4f8298afe901f83aa5f5367f45209b7f; warm-started from seed22/e140; gitignored
phase3b_local_rehearsal_step780k	final_step_780000.pt	22	n/a (780,000 optimizer steps)	21efca03e72f9234d6b3fd93da1b1dd7765506ba59c9b1408966d1d9469d0ca6	93a577fd9822955fa272ee733fa7e2acf81f1333	derived (not selected by any criterion)	DERIVED_NONCANONICAL	Phase 3B local (subset3288) repetition-rehearsal endpoint	MT Fig 1, Fig 2, Fig 3, backup	outputs/naming_comprehension_93a577f/phase3b_multitask_123_continue400k_to800k_subset3288_seed22/	no	adaptation commit c56355cd4f8298afe901f83aa5f5367f45209b7f; endpoint C 95.1 / N 100.0 / R_subset 100.0 / R_full 11.8
phase3c_fulllex_rehearsal_step800k	final_step_800000.pt	22	n/a (800,000 optimizer steps)	caf2c048cdac08dab0c6585b9af067ebcccc156281d61c8f33eebada586dbf39	93a577fd9822955fa272ee733fa7e2acf81f1333	derived (not selected by any criterion)	DERIVED_NONCANONICAL	Phase 3C full-lexicon repetition-rehearsal endpoint; carries the preservation-acquisition result	MT Fig 2, Fig 3, backup	outputs/naming_comprehension_93a577f/phase3c_multitask_123_replexfull_subset3288_seed22/	no	adaptation commit 439316e09b3c79ad5740fbffaecafacfa4a3558f; endpoint C 91.5 / N 100.0 / R_subset 97.3 / R_full 97.1
phase6b_p6a_best_lowlr_e160	p6a_best_lowlr_e160.pt	not recorded	160	4b492dd328d27f7647635dfa52ee5b36c5082644f03252588f2abcd03b3ff6dd	pre-93a577f (gridsearch era; exact commit not recorded)	n/a	HISTORICAL_SUPERSEDED	Phase 6B gridsearch artefact	nothing current	local disk outside every repository (Yair-Lichtheim3/checkpoints/phase6b/)	no	15,454,156 bytes vs 5.25 MB canonical; internal archive root 'model.pt' not 'seed_NN.epoch_NNNN.pt'; predates the full-lexicon cohort
phase7a_H256_tf1p0_e160	H256_tf1p0_lr1e-3_e160_zero_ar.pt	not recorded	160	5e397e25f20cea7c859486f95dcf462e32f6dbe90d3c12193e197c6d676877f2	pre-93a577f (gridsearch era; exact commit not recorded)	n/a	HISTORICAL_SUPERSEDED	Phase 7A gridsearch artefact, hidden size 256	nothing current	local disk outside every repository (Yair-Lichtheim3/checkpoints/phase7a_zero/)	no	15,455,366 bytes; internal archive root 'model.epoch_0160.pt'; hidden size differs from the canonical 128
phase7a_H064_tf0p0_e160	H064_tf0p0_lr1e-3_e160_zero_ar.pt	not recorded	160	1a296ab89ef6939ac0b86a51a2e8f3f45111b810affb703fbc9af400d574c214	pre-93a577f (gridsearch era; exact commit not recorded)	n/a	HISTORICAL_SUPERSEDED	Phase 7A gridsearch artefact, hidden size 64	nothing current	local disk outside every repository (Yair-Lichtheim3/checkpoints/phase7a_zero/)	no	2,068,870 bytes; hidden size differs from the canonical 128
