condition	word	rank	length	target_phonemes	wm_exact	wm_predicted	wm_edit	wm_pred_len	ltm_exact	ltm_predicted	full_exact	full_predicted	in_subset3288	in_probe
H0	skyscraper	29911	9	S K AY S K R EY P ER	1	S K AY S K R EY P ER	0	9	0	S K AY K S P R EY ER	0	S K AY K S R EY P ER	0	0
H0	slicer	29987	5	S L AY S ER	0	S L AY K ER	1	5	1	S L AY S ER	1	S L AY S ER	0	0
H0	slingshot	30000	7	S L IH NG SH AA T	0	S L IH NG B AA SH T	2	8	0	S L AW T SH AA P	0	S L IH NG B AA SH T	0	0
C-only	skyscraper	29911	9	S K AY S K R EY P ER	0	S K AY S K R EY P K ER	1	10	0	S K AY P K R EY S	1	S K AY S K R EY P ER	0	0
C-only	sleepwalking	29973	9	S L IY P W AO K IH NG	0	S L IY P W AO P IH NG	1	9	0	S L P IY K IH NG	1	S L IY P W AO K IH NG	0	0
C-only	sleepwear	29974	7	S L IY P W EH R	1	S L IY P W EH R	0	7	0	S AH N S F EH L IY	0	S L IY P L EH NG	0	0
N-only	consists	3947	8	K AH N S IH S T S	0	K AH N S IH S T IH S	1	9	1	K AH N S IH S T S	1	K AH N S IH S T S	0	0
N-only	consisting	7032	9	K AH N S IH S T IH NG	0	K AH N S IH S IH NG T	2	9	1	K AH N S IH S T IH NG	1	K AH N S IH S T IH NG	0	0
N-only	definitive	14847	9	D IH F IH N IH T IH V	0	D IH F IH N IH IH T IH V	1	10	1	D IH F IH N IH T IH V	1	D IH F IH N IH T IH V	0	0
N-only	dualistic	15766	9	D UW AH L IH S T IH K	0	D UW AH L IH S IH T K	2	9	1	D UW AH L IH S T IH K	1	D UW AH L IH S T IH K	1	0
N-only	enlist	16381	6	EH N L IH S T	0	EH N L IH S IH T	1	7	1	EH N L IH S T	1	EH N L IH S T	0	1
N-only	felicitate	17075	9	F AH L IH S IH T EY T	0	F AH L IH S IH EY T	1	8	1	F AH L IH S IH T EY T	1	F AH L IH S IH T EY T	0	0
N-only	holistic	19820	8	HH OW L IH S T IH K	0	HH OW L IH S IH T K	2	8	1	HH OW L IH S T IH K	1	HH OW L IH S T IH K	0	0
N-only	inelastic	20506	9	IH N AH L AE S T IH K	0	IH N AH L AE S IH T	2	8	1	IH N AH L AE S T IH K	1	IH N AH L AE S T IH K	0	1
N-only	scoundrel	29057	8	S K AW N D R AH L	0	S K AW N D R AH N	1	8	1	S K AW N D R AH L	1	S K AW N D R AH L	0	0
N-only	separateness	29298	9	S EH P ER AH T N AH S	1	S EH P ER AH T N AH S	0	9	0	S EH P ER AH S T AH N	0	S EH P ER AH N T AH S	0	0
N-only	shoplifting	29601	9	SH AA P L IH F T IH NG	0	SH AA P L IH F IH T	2	8	0	P AA L SH IH F T AH N	1	SH AA P L IH F T IH NG	0	0
N-only	skinflint	29880	9	S K IH N F L IH N T	0	S K IH N F IH L N T	2	9	1	S K IH N F L IH N T	1	S K IH N F L IH N T	0	0
N-only	sleepwalk	29971	7	S L IY P W AO K	0	S W IY P L AO K	2	7	0	S L IY P W IH K	1	S L IY P W AO K	0	0
N-only	sleepwalker	29972	8	S L IY P W AO K ER	0	S W IY P L AO K ER	2	8	1	S L IY P W AO K ER	1	S L IY P W AO K ER	0	0
N-only	sleepwalking	29973	9	S L IY P W AO K IH NG	0	S W IY P L AO K IH NG	2	9	0	S L IY P W IH K	1	S L IY P W AO K IH NG	0	0
N-only	sleepwear	29974	7	S L IY P W EH R	0	S W IY P L EH R	2	7	1	S L IY P W EH R	1	S L IY P W EH R	0	0
J0	shropshire	29661	7	SH R AA P SH AY R	1	SH R AA P SH AY R	0	7	0	R UW P L AO R	0	SH AA R P AY SH	0	0
J0	signorelli	29751	9	S IY G N AO R EH L IY	0	S IY G N AO R EH L	1	8	0	IY TH L IY N AY	0	S IY G N AO R EH L	0	0
