analysis	regime	outcome	estimate	uncertainty	seed_consistency	classification	limitation	source_table	source_figure
A05 length slope	LICHTHEIM_CLEAN / adapted	raw_edit_distance ~ phoneme length, LTM, pseudowords	0.197 to 0.256 per phoneme	per-seed values; slope positive in all 4 seeds	4/4 same sign	ROBUST	clean-set lexicality is confounded with exposure	reports/behavioral_wfe_fulllexicon_93a577f/figures/clean_length_slopes_by_seed.tsv	F2
A05 primary contrast	LICHTHEIM_CLEAN / adapted	LTM minus WM length slope, pseudowords	+0.246, +0.183, +0.184, +0.205	per-seed values; positive in all 4 seeds	4/4 same sign	ROBUST	not a mechanism; route is a design factor	reports/behavioral_wfe_fulllexicon_93a577f/figures/clean_route_length_contrasts.tsv	F2
A05 trained-real routes	LICHTHEIM_CLEAN / adapted	FULL and WM length slope, trained real words	exactly 0.000	structural zero, not an estimate	4/4 exact zero	CEILING_LIMITED	zero errors on every item; no absence of length information may be inferred	reports/behavioral_wfe_fulllexicon_93a577f/figures/clean_length_slopes_by_seed.tsv	F1
A05 trained-real LTM	LICHTHEIM_CLEAN / adapted	LTM length slope, trained real words	0.0007 to 0.0177 per phoneme	per-seed values	4/4 positive but very small	CONSISTENT_BUT_SMALL	near floor; an order of magnitude below the pseudoword slope	reports/behavioral_wfe_fulllexicon_93a577f/figures/clean_length_slopes_by_seed.tsv	F1
A08 exposure	ALL_WITH_EXPOSURE_STRATA / adapted	LTM mean edit distance by exposure status	untrained real 0.549; novel pseudo 0.601; trained real 0.024	descriptive means over seeds	consistent ordering in all 4 seeds	ROBUST	descriptive; three strata have n<=7 and are excluded from any claim	reports/behavioral_wfe_fulllexicon_93a577f/error_taxonomy/strata/tables/exposure_error_taxonomy.tsv	S12
A06 serial position	LICHTHEIM_CLEAN / adapted	positional error rate by relative position	LTM pseudowords rise strongly at late positions	pooled over seeds; no interval by design	pooled	DESCRIPTIVE_ONLY	zip-mismatch positions, no alignment	reports/behavioral_wfe_fulllexicon_93a577f/figures/yair_clean_serial_position_interpolated.tsv	F3
A12 morphology	LICHTHEIM_CLEAN / adapted	morphology contrast and morphology x length	no contrast distinguishable from zero	every 95% hierarchical bootstrap interval spans zero	signs vary across seeds	NON_ESTIMABLE	not evidence that morphology is absent from internal representations	reports/behavioral_wfe_fulllexicon_93a577f/morphology/clean_adapted/tables/clean_morphology_bootstrap.tsv	S6
A14 frequency	TRAINED_REAL_FREQUENCY_PRIMARY / adapted	Zipf slope of edit distance, LTM	-0.0130	95% hierarchical bootstrap [-0.0288, -0.0027]	4/4 negative	CONSISTENT_BUT_SMALL	sparse errors; FULL and WM are ALL_ZERO_OUTCOME by ceiling	reports/behavioral_wfe_fulllexicon_93a577f/frequency/primary/tables/trained_real_frequency_bootstrap.tsv	F6
A14 confidence and gate	TRAINED_REAL_FREQUENCY_PRIMARY / adapted	Zipf slope of lexical confidence and of the gate	confidence +0.0914; gate +0.0450	95% hierarchical bootstrap	4/4 positive	DESCRIPTIVE_ONLY	the gate is a deterministic monotonic transform of confidence: linked outcomes, not independent evidence	reports/behavioral_wfe_fulllexicon_93a577f/frequency/gate_confidence/tables/frequency_confidence_gate_bootstrap.tsv	S10
A17 error taxonomy	LICHTHEIM_CLEAN / adapted	mean operations per item, LTM long pseudowords	subs 0.574; dels 0.245; ins 0.140	95% hierarchical bootstrap; subs [0.276, 0.411] overall	Long > Short with non-overlapping seed ranges	ROBUST	editops tie-breaking moves counts between types; terminal insertions unobservable	reports/behavioral_wfe_fulllexicon_93a577f/error_taxonomy/clean/tables/clean_error_taxonomy_summary.tsv	F4
