old_script	new_script	status	scientific_logic_preserved	validation_method	notes
outputs/.../behavioral_analysis/_control/analysis_lib.py	scripts/behavioral_analysis/bootstrap.py	PROMOTED	yes - ols_slope and hierarchical_bootstrap copied unchanged	regenerated slopes and CIs compared to validated tables: max |diff| = 0.00e+00	cell_mean_bootstrap added, promoted verbatim from the figure-1 driver band code
outputs/.../behavioral_analysis/_control/analysis_preflight.py	scripts/behavioral_analysis/build_canonical_table.py + validate_outputs.py	PROMOTED (split)	yes - table construction and checks separated, logic unchanged	canonical rebuild compared to validated table; 26 preflight checks re-expressed as validate_outputs	one file did two jobs; construction and validation now separate
outputs/.../behavioral_analysis/_control/run_descriptives_and_slopes.py	scripts/behavioral_analysis/compute.py (clean_length_table, clean_slope_tables)	PROMOTED	yes	slopes 24 rows, contrasts 8 rows, cell means 144 rows: max |diff| = 0.00e+00	descriptive tables not in Sprint 1 figure scope remain in the original driver
outputs/.../behavioral_analysis/_control/make_yair_figures.py	scripts/behavioral_analysis/compute.py (serial_position_tables) + plotting.py (figures 1-3)	PROMOTED	yes - zip-mismatch and PCHIP unchanged	serial-position curves 600 rows: max |diff| = 0.00e+00	plotting restyled per Sprint 1 layout brief; underlying numbers untouched
outputs/.../behavioral_analysis/_control/run_faithful_and_confirmatory.py	scripts/behavioral_analysis/compute.py (gate_tables) + plotting.py (figures 4-5)	PARTIALLY_PROMOTED	yes for the gate section	gate clean 8 rows: max |diff| = 0.00e+00	faithful 2A/2B/2C, five-set confirmatory statistics and error taxonomy stay in the driver; Sprint 1 forbids recomputing them
outputs/.../full_wfe_evaluation/_control/run_production_seed.py	(not promoted)	KEEP_AS_OUTPUT_SIDE_DRIVER	n/a	production validation 84 checks per seed	loads checkpoints; must stay out of the inference-free analysis package
outputs/.../full_wfe_evaluation/_control/validate_seed.py	(not promoted)	KEEP_AS_OUTPUT_SIDE_DRIVER	n/a	84 checks per seed, all PASS	production-side validator
outputs/.../full_wfe_evaluation/_control/finalize_production.py	(not promoted)	KEEP_AS_OUTPUT_SIDE_DRIVER	n/a	cross-seed 63 checks PASS	superseded for manifests by close_production_manifest.py
outputs/.../full_wfe_evaluation/_control/production_preflight.py	(not promoted)	KEEP_AS_OUTPUT_SIDE_DRIVER	n/a	38 preflight checks PASS	production-side preflight
outputs/.../smoke_seed22/_control/*.py	(not promoted)	VALIDATOR_ONLY	n/a	155/155 smoke assertions PASS	one-off pipeline validation, archived with its evidence
