seed	X	criterion_met	n_qualifying_streaks	longest_zero_streak	selected_epoch	stop_epoch_earliest_knowable	qualifying_streak_epochs	n_evaluated_checkpoints	evaluated_epoch_range	evaluation_step	evaluation_grid_regular	missing_evaluations_inferred
19	2	True	1	6	155.0	160.0	155,160,165,170,175,180	20	105-200	5	True	False
19	3	True	1	6	155.0	165.0	155,160,165,170,175,180	20	105-200	5	True	False
19	5	True	1	6	155.0	175.0	155,160,165,170,175,180	20	105-200	5	True	False
20	2	True	1	2	130.0	135.0	130,135	20	105-200	5	True	False
20	3	False	0	2				20	105-200	5	True	False
20	5	False	0	2				20	105-200	5	True	False
21	2	False	0	0				20	105-200	5	True	False
21	3	False	0	0				20	105-200	5	True	False
21	5	False	0	0				20	105-200	5	True	False
22	2	True	1	13	140.0	145.0	140,145,150,155,160,165,170,175,180,185,190,195,200	20	105-200	5	True	False
22	3	True	1	13	140.0	150.0	140,145,150,155,160,165,170,175,180,185,190,195,200	20	105-200	5	True	False
22	5	True	1	13	140.0	160.0	140,145,150,155,160,165,170,175,180,185,190,195,200	20	105-200	5	True	False
