item_index	word	batch_dec_width	rank	target_phonemes	length	zipf_approx	is_word	gate	effective_ventral_weight	effective_dorsal_weight	lexical_confidence	lexical_margin	lexical_density	canonical_full_exact	canonical_full_predicted	canonical_wm_exact	canonical_wm_predicted	canonical_ltm_exact	canonical_ltm_predicted	canonical_fixed05_exact	canonical_fixed05_predicted	freear_full_exact	freear_full_predicted	freear_wm_exact	freear_wm_predicted	freear_ltm_exact	freear_ltm_predicted	freear_fixed05_exact	freear_fixed05_predicted	competence_category	competence_category_freear
0	the	10	1	DH AH	2	1.0	1	0.5577245354652405	0.5577245354652405	0.4422754645347595	0.8159661889076233	0.11430370807647705	14.75344181060791	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	BOTH_CORRECT	BOTH_CORRECT
1	of	10	2	AH V	2	0.5	1	0.5472148656845093	0.5472148656845093	0.4527851343154907	0.7947119474411011	0.08370780944824219	12.580824851989746	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	BOTH_CORRECT	BOTH_CORRECT
2	and	10	3	AH N D	3	0.333333	1	0.5358768105506897	0.5358768105506897	0.4641231894493103	0.771877110004425	0.09235119819641113	27.246692657470703	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	BOTH_CORRECT	BOTH_CORRECT
3	to	10	4	T UW	2	0.25	1	0.5719384551048279	0.5719384551048279	0.4280615448951721	0.8448822498321533	0.04463142156600952	27.956153869628906	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	BOTH_CORRECT	BOTH_CORRECT
4	in	10	5	IH N	2	0.2	1	0.5229504704475403	0.5229504704475403	0.4770495295524597	0.7459331750869751	0.011943817138671875	88.32916259765625	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	BOTH_CORRECT	BOTH_CORRECT
5	for	10	6	F AO R	3	0.166667	1	0.5322996973991394	0.5322996973991394	0.4677003026008606	0.7646894454956055	0.0022725462913513184	73.4523696899414	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	BOTH_CORRECT	BOTH_CORRECT
6	is	10	7	IH Z	2	0.142857	1	0.5415177345275879	0.5415177345275879	0.4584822654724121	0.7832270264625549	0.07067841291427612	23.963233947753906	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	BOTH_CORRECT	BOTH_CORRECT
7	on	10	8	AA N	2	0.125	1	0.5134451985359192	0.5134451985359192	0.4865548014640808	0.7268968820571899	0.009759962558746338	81.96756744384766	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	BOTH_CORRECT	BOTH_CORRECT
8	that	10	9	DH AE T	3	0.111111	1	0.5923278331756592	0.5923278331756592	0.4076721668243408	0.8867985010147095	0.08996766805648804	13.628923416137695	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	BOTH_CORRECT	BOTH_CORRECT
9	by	10	10	B AY	2	0.1	1	0.4950719475746155	0.4950719475746155	0.5049280524253845	0.6901436448097229	0.051715970039367676	45.43407440185547	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	BOTH_CORRECT	BOTH_CORRECT
10	this	10	11	DH IH S	3	0.090909	1	0.5885250568389893	0.5885250568389893	0.41147494316101074	0.878935694694519	0.11858534812927246	11.776391983032227	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	BOTH_CORRECT	BOTH_CORRECT
11	with	10	12	W IH DH	3	0.083333	1	0.5643765926361084	0.5643765926361084	0.4356234073638916	0.8294718265533447	0.19148099422454834	4.517815589904785	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	BOTH_CORRECT	BOTH_CORRECT
12	you	10	13	Y UW	2	0.076923	1	0.5818430185317993	0.5818430185317993	0.4181569814682007	0.8651718497276306	0.11790269613265991	10.309127807617188	1	Y UW	1	Y UW	1	Y UW	1	Y UW	1	Y UW	1	Y UW	1	Y UW	1	Y UW	BOTH_CORRECT	BOTH_CORRECT
13	it	10	14	IH T	2	0.071429	1	0.5726106762886047	0.5726106762886047	0.42738932371139526	0.8462552428245544	0.03732854127883911	36.015106201171875	1	IH T	1	IH T	1	IH T	1	IH T	1	IH T	1	IH T	1	IH T	1	IH T	BOTH_CORRECT	BOTH_CORRECT
14	not	10	15	N AA T	3	0.066667	1	0.5882511734962463	0.5882511734962463	0.41174882650375366	0.8783702850341797	0.0442848801612854	21.66387176513672	1	N AA T	1	N AA T	1	N AA T	1	N AA T	1	N AA T	1	N AA T	1	N AA T	1	N AA T	BOTH_CORRECT	BOTH_CORRECT
15	or	10	16	AO R	2	0.0625	1	0.5335824489593506	0.5335824489593506	0.4664175510406494	0.7672662138938904	0.1363341212272644	16.31850814819336	1	AO R	1	AO R	1	AO R	1	AO R	1	AO R	1	AO R	1	AO R	1	AO R	BOTH_CORRECT	BOTH_CORRECT
16	be	10	17	B IY	2	0.058824	1	0.5484020113945007	0.5484020113945007	0.45159798860549927	0.7971081137657166	0.017248332500457764	36.54369354248047	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	BOTH_CORRECT	BOTH_CORRECT
17	are	10	18	AA R	2	0.055556	1	0.49412286281585693	0.49412286281585693	0.5058771371841431	0.6882451176643372	0.014821648597717285	90.5579833984375	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	BOTH_CORRECT	BOTH_CORRECT
18	from	10	19	F R AH M	4	0.052632	1	0.5341130495071411	0.5341130495071411	0.4658869504928589	0.7683322429656982	0.18421602249145508	7.735639572143555	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	BOTH_CORRECT	BOTH_CORRECT
19	at	10	20	AE T	2	0.05	1	0.5057767033576965	0.5057767033576965	0.49422329664230347	0.7115539312362671	0.14994096755981445	14.862064361572266	1	AE T	1	AE T	1	AE T	1	AE T	1	AE T	1	AE T	1	AE T	1	AE T	BOTH_CORRECT	BOTH_CORRECT
20	as	10	21	AE Z	2	0.047619	1	0.5465080738067627	0.5465080738067627	0.4534919261932373	0.7932857871055603	0.0602230429649353	32.5634651184082	1	AE Z	1	AE Z	1	AE Z	1	AE Z	1	AE Z	1	AE Z	1	AE Z	1	AE Z	BOTH_CORRECT	BOTH_CORRECT
21	your	10	22	Y AO R	3	0.045455	1	0.568707287311554	0.568707287311554	0.43129271268844604	0.8382894396781921	0.1113806962966919	3.5047595500946045	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	BOTH_CORRECT	BOTH_CORRECT
22	all	10	23	AO L	2	0.043478	1	0.5619858503341675	0.5619858503341675	0.4380141496658325	0.8246126770973206	0.045855820178985596	34.64107131958008	1	AO L	1	AO L	1	AO L	1	AO L	1	AO L	1	AO L	1	AO L	1	AO L	BOTH_CORRECT	BOTH_CORRECT
23	have	10	24	HH AE V	3	0.041667	1	0.5847856998443604	0.5847856998443604	0.41521430015563965	0.8712252974510193	0.08383655548095703	8.432086944580078	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	BOTH_CORRECT	BOTH_CORRECT
24	new	10	25	N UW	2	0.04	1	0.5426285266876221	0.5426285266876221	0.45737147331237793	0.7854645252227783	0.17658239603042603	8.353548049926758	1	N UW	1	N UW	1	N UW	1	N UW	1	N UW	1	N UW	1	N UW	1	N UW	BOTH_CORRECT	BOTH_CORRECT
