category	table_number	topic	analysis	regime_kind	source_path	release_mode	reason
MAIN	T1	dataset and exposure audit	A01-A03	n/a	reports/behavioral_wfe_fulllexicon_93a577f/final_release/tables/dataset_regime_summary.tsv	COPIED_GENERATED	defines every regime and its caveat; needed to read any other table
MAIN	T2	checkpoint audit	A01-A03	n/a	reports/behavioral_wfe_fulllexicon_93a577f/final_release/tables/checkpoint_summary.tsv	COPIED_GENERATED	pins the four checkpoints by hash; no checkpoint was loaded in this release
MAIN	T3	route-specific length slopes	A05	adapted	reports/behavioral_wfe_fulllexicon_93a577f/figures/clean_length_slopes_by_seed.tsv	POINTER	per-seed slopes behind F1 and F2; copying adds no value
MAIN	T4	LTM-WM contrasts	A05	adapted	reports/behavioral_wfe_fulllexicon_93a577f/figures/clean_route_length_contrasts.tsv	POINTER	the primary contrast behind F2
MAIN	T5	morphology contrasts	A12	adapted	reports/behavioral_wfe_fulllexicon_93a577f/morphology/clean_adapted/tables/clean_morphology_bootstrap.tsv	POINTER	the null morphology result with its intervals
MAIN	T6	frequency slopes	A14	adapted	reports/behavioral_wfe_fulllexicon_93a577f/frequency/primary/tables/trained_real_frequency_bootstrap.tsv	POINTER	the Zipf slope and its bootstrap interval behind F6
MAIN	T7	error-operation summary	A17	adapted	reports/behavioral_wfe_fulllexicon_93a577f/error_taxonomy/clean/tables/clean_error_taxonomy_summary.tsv	POINTER	mean operations per item with per-seed values behind F4
MAIN	T8	EOS summary	A18	adapted	reports/behavioral_wfe_fulllexicon_93a577f/error_taxonomy/eos/tables/premature_eos_by_seed_route.tsv	POINTER	event counts, rates and shortfall behind F5
MAIN	T9	adapted feature-importance summary	A15	adapted	reports/behavioral_wfe_fulllexicon_93a577f/feature_importance/clean_joint/tables/clean_main_factor_importance.tsv	POINTER	grouped importance per seed and factor behind F7
MAIN	T10	key results across analyses	all	both	reports/behavioral_wfe_fulllexicon_93a577f/final_release/tables/key_results_summary.tsv	COPIED_GENERATED	one row per principal result with its classification and limitation
MAIN	T11	analysis status	all	both	reports/behavioral_wfe_fulllexicon_93a577f/final_release/tables/analysis_status_summary.tsv	COPIED_GENERATED	final status of every matrix row including the deferred SSP
MAIN	T12	figure index	all	both	reports/behavioral_wfe_fulllexicon_93a577f/final_release/tables/final_figure_index.tsv	COPIED_GENERATED	every figure with category, purpose, finding and limitation
SUPPLEMENTARY	S-T1	faithful 2A plotting table	A09	faithful	outputs/behavioral_wfe_fulllexicon_93a577f/behavioral_analysis/faithful_replication/faithful_figure2A_table.tsv	COPIED_BYTE_IDENTICAL	authoritative source for S1; copied so the release is self-contained
SUPPLEMENTARY	S-T2	faithful 2C plotting table	A10	faithful	outputs/behavioral_wfe_fulllexicon_93a577f/behavioral_analysis/faithful_replication/faithful_figure2C_table.tsv	COPIED_BYTE_IDENTICAL	authoritative source for S2
SUPPLEMENTARY	S-T3	faithful 2B feature importance	A11	faithful	outputs/behavioral_wfe_fulllexicon_93a577f/behavioral_analysis/faithful_replication/faithful_figure2B_feature_importance.tsv	COPIED_BYTE_IDENTICAL	authoritative source for S3; historical sign convention preserved
SUPPLEMENTARY	S-T4	exposure-stratified operations	A17	adapted	reports/behavioral_wfe_fulllexicon_93a577f/error_taxonomy/strata/tables/exposure_error_taxonomy.tsv	POINTER	the untrained-real-word finding, with small-cell flags
SUPPLEMENTARY	S-T5	error composition	A17	adapted	reports/behavioral_wfe_fulllexicon_93a577f/error_taxonomy/clean/tables/clean_error_taxonomy_composition.tsv	POINTER	operation proportions; NO_ERRORS_FOR_COMPOSITION where undefined
SUPPLEMENTARY	S-T6	EOS by exact length	A18	adapted	reports/behavioral_wfe_fulllexicon_93a577f/error_taxonomy/eos/tables/premature_eos_by_exact_length.tsv	POINTER	the length profile behind F5
SUPPLEMENTARY	S-T7	EOS/deletion overlap	A18	adapted	reports/behavioral_wfe_fulllexicon_93a577f/error_taxonomy/eos/tables/premature_eos_deletion_overlap.tsv	POINTER	the 2x2 showing premature EOS is partial; both probabilities non-causal
SUPPLEMENTARY	S-T8	route-specific FI	A15	adapted	reports/behavioral_wfe_fulllexicon_93a577f/feature_importance/route_specific/tables/route_specific_model_fit.tsv	POINTER	model statuses showing only LTM is estimable
SUPPLEMENTARY	S-T9	interaction block utility	A15	adapted	reports/behavioral_wfe_fulllexicon_93a577f/feature_importance/clean_interactions/tables/interaction_block_drop_utility.tsv	POINTER	drop-block utility of the five predeclared blocks
SUPPLEMENTARY	S-T10	frequency distribution and confounds	A14	adapted	reports/behavioral_wfe_fulllexicon_93a577f/frequency/tables/trained_real_frequency_distribution.tsv	POINTER	shows the Zipf distribution and its correlation with length
SUPPLEMENTARY	S-T11	gate by exposure status	A08	adapted	reports/behavioral_wfe_fulllexicon_93a577f/figures/gate_by_exposure_status.tsv	POINTER	gate and confidence across the six exposure categories
SUPPLEMENTARY	S-T12	seed-22 illustrative items	A18	adapted	reports/behavioral_wfe_fulllexicon_93a577f/error_taxonomy/examples/seed22_illustrative_premature_eos.tsv	POINTER	deterministic illustrations; no claim rests on them
