LABEL	state_id	item_index	lexical_identity	target_phonology	S0_freear_predicted_phonology	divergence_step	diag_prefix_correction_label	diag_prefix_correction_corrected_predicted_phonology	diag_prefix_correction_corrected_exact	diag_prefix_correction_corrected_second_divergence_step	diag_prefix_correction_corrected_terminated_by_cap
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	19	at	AE T	OW P AH N	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	AE T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	363	old	OW L D	L AO D	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	OW L D	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	410	author	AO TH ER	AO TH AH N T	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	AO TH ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	421	process	P R AA S EH S	V IH K AH L	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	P R AA S EH S	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	621	possible	P AA S AH B AH L	P AA Z AH T ER	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	P AA S AH B AH L	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	1190	featured	F IY CH ER D	F IY CH ER IH NG	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	F IY CH ER D	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	1405	positive	P AA Z AH T IH V	B AA R N AH T	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	P AA Z AH T IH V	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	1422	processing	P R AA S EH S IH NG	P R IH S EH P T	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	P R AA S EH S IH NG	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	1458	longer	L AO NG G ER	L AO NG	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	L AO NG G	0	4	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	1464	german	JH ER M AH N	AO R TH IH N EH R IY	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	JH ER M AH N	1	NA	0
