kind	state_id	item_index	lexical_identity	target_phonology	in_C_population	C_contract_correct	retrieved_lexical_identity	retrieved_phonology	lexical_identity_correct	phonology_correct	S0_freear_exact_correct	S1_freear_predicted_phonology	S2_freear_exact_correct
NATIVE_FAIL_S2_CORRECT_S1_WRONG	W4_SRC	19473	himalaya	HH IH M AH L AY AH	1	0	himalayas	HH IH M AH L AY AH S	0	0	0	HH IH M AH L AY AH S	1
NATIVE_FAIL_S2_CORRECT_S1_WRONG	W4_SRC	25165	overthrew	OW V ER TH R UW	1	0	overthrown	OW V ER TH R OW N	0	0	0	OW V ER TH R OW N	1
NATIVE_FAIL_S2_CORRECT_S1_WRONG	W4_SRC	25665	peng	P EH NG	1	0	yu	Y UW	0	0	0	Y UW	1
NATIVE_FAIL_S2_CORRECT_S1_WRONG	W4_SRC	27956	rodolfo	R OW D AA L F OW	1	0	jorge	HH AO R HH EY	0	0	0	HH AO R HH EY	1
NATIVE_FAIL_S2_CORRECT_S1_WRONG	W4_SRC	29525	slaw	S L AO	1	0	cilantro	S IH L AE N T R OW	0	0	0	S IH L AE N T R OW	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	9	by	B AY	1	0	they	DH EY	0	0	1	DH EY	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	16	be	B IY	1	0	not	N AA T	0	0	1	N AA T	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	25	more	M AO R	1	0	than	DH AE N	0	0	1	DH AE N	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	55	their	DH EH R	1	0	they	DH EY	0	0	1	DH EY	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	60	there	DH EH R	0	NA	they	DH EY	0	0	1	DH EY	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	120	b	B IY	0	NA	not	N AA T	0	0	1	N AA T	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	126	buy	B AY	0	NA	they	DH EY	0	0	1	DH EY	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	985	monday	M AH N D IY	1	0	thursday	TH ER Z D EY	0	0	1	TH ER Z D EY	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	1085	six	S IH K S	1	0	eight	EY T	0	0	1	EY T	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	1112	tuesday	T UW Z D IY	1	0	monday	M AH N D IY	0	0	1	M AH N D IY	1
