word	lexicon_index	seed	epoch	target_cosine	best_wrong_cosine	target_rank	top1	top5	margin
the	0	19	155	0.76323974	0.7959578	10	False	False	-0.032718062
of	1	19	155	0.74517995	0.7639701	3	False	True	-0.018790126
and	2	19	155	0.69570005	0.7391003	17	False	False	-0.043400228
to	3	19	155	0.7744428	0.8314997	14	False	False	-0.057056904
in	4	19	155	0.7217682	0.74942166	4	False	True	-0.027653456
for	5	19	155	0.7157493	0.77148116	17	False	False	-0.055731833
is	6	19	155	0.6947599	0.7727785	20	False	False	-0.078018606
on	7	19	155	0.64601576	0.76269376	105	False	False	-0.116678
that	8	19	155	0.83700675	0.8505622	4	False	True	-0.013555467
by	9	19	155	0.5532618	0.699985	206	False	False	-0.14672321
this	10	19	155	0.8246571	0.8549617	6	False	False	-0.03030461
with	11	19	155	0.6584479	0.80784196	85	False	False	-0.14939404
you	12	19	155	0.8200916	0.79088634	1	True	True	0.029205263
it	13	19	155	0.8166907	0.8333433	4	False	True	-0.016652644
not	14	19	155	0.84099835	0.8626932	6	False	False	-0.021694839
or	15	19	155	0.6939236	0.80578077	69	False	False	-0.111857176
be	16	19	155	0.68791735	0.7694063	27	False	False	-0.08148897
are	17	19	155	0.5820222	0.6765431	40	False	False	-0.09452093
from	18	19	155	0.64576703	0.7390364	43	False	False	-0.09326935
at	19	19	155	0.58205163	0.74238276	175	False	False	-0.16033113
as	20	19	155	0.73658353	0.7983214	19	False	False	-0.061737895
your	21	19	155	0.79948014	0.88482624	2	False	True	-0.0853461
all	22	19	155	0.77315503	0.8365188	19	False	False	-0.06336379
have	23	19	155	0.7871516	0.83622015	6	False	False	-0.04906857
new	24	19	155	0.6612225	0.7512005	65	False	False	-0.08997798
more	25	19	155	0.7552308	0.8355272	21	False	False	-0.0802964
an	26	19	155	0.5413086	0.7028323	214	False	False	-0.1615237
was	27	19	155	0.6544996	0.7585569	54	False	False	-0.10405731
we	28	19	155	0.8450934	0.8760307	5	False	True	-0.030937254
will	29	19	155	0.7578348	0.82141024	24	False	False	-0.06357545
home	30	19	155	0.7324856	0.707724	1	True	True	0.024761617
can	31	19	155	0.8061381	0.8081882	2	False	True	-0.0020501018
us	32	19	155	0.69675446	0.75550634	17	False	False	-0.05875188
about	33	19	155	0.6767698	0.78148884	42	False	False	-0.10471904
if	34	19	155	0.8330853	0.8124536	1	True	True	0.020631671
page	35	19	155	0.7598263	0.7109234	1	True	True	0.04890293
my	36	19	155	0.75334203	0.83734435	9	False	False	-0.084002316
has	37	19	155	0.6859384	0.79330295	39	False	False	-0.107364535
search	38	19	155	0.7412941	0.639497	1	True	True	0.101797104
free	39	19	155	0.61701447	0.7184798	68	False	False	-0.101465344
but	40	19	155	0.8168157	0.8386464	3	False	True	-0.021830738
our	41	19	155	0.6843742	0.8117991	78	False	False	-0.1274249
one	42	19	155	0.74987423	0.84336144	36	False	False	-0.0934872
other	43	19	155	0.77164364	0.7904991	5	False	True	-0.018855453
do	44	19	155	0.78158635	0.8172722	10	False	False	-0.035685837
no	45	19	155	0.7308851	0.86499846	59	False	False	-0.13411337
information	46	19	155	0.717039	0.6914405	1	True	True	0.025598466
time	47	19	155	0.79904824	0.7991054	2	False	True	-5.7160854e-05
they	48	19	155	0.88008416	0.8539879	1	True	True	0.026096284
site	49	19	155	0.74788755	0.6806563	1	True	True	0.06723124
he	50	19	155	0.75847745	0.85096914	22	False	False	-0.09249169
up	51	19	155	0.7767807	0.8007068	5	False	True	-0.02392608
may	52	19	155	0.69906306	0.79231244	31	False	False	-0.09324938
what	53	19	155	0.8430689	0.8379667	1	True	True	0.005102217
which	54	19	155	0.79181725	0.75908375	1	True	True	0.0327335
their	55	19	155	0.6785024	0.84263295	111	False	False	-0.16413057
