route	seed	outcome	n_train_items	n_test_items	n_test_nonzero	test_nonzero_density	ridge_alpha	original_outcome_status	original_model_status	negative_test_r2	train_r2	test_r2	estimability_verdict	importance_reported	importance_is_zero_by_fiat	n_factor_rows_available	note
full	19	raw_edit_distance	850	212	2	0.009433962264150943	1.0	INSUFFICIENT_ERRORS	INSUFFICIENT_ERRORS	False	0.0162694371176196	0.0168709939927705	NOT_ESTIMABLE_CEILING_OR_SPARSE_OUTCOME	False	False	3	no importance is reported; a non-estimable cell is never assigned zero importance
full	20	raw_edit_distance	850	212	0	0.0	1.0	NEAR_ZERO_VARIANCE	NON_ESTIMABLE	False	0.0052703007726226		NOT_ESTIMABLE_CEILING_OR_SPARSE_OUTCOME	False	False	3	no importance is reported; a non-estimable cell is never assigned zero importance
full	21	raw_edit_distance	850	212	2	0.009433962264150943	1.0	INSUFFICIENT_ERRORS	INSUFFICIENT_ERRORS	False	0.0203027950769976	0.0253301030945679	NOT_ESTIMABLE_CEILING_OR_SPARSE_OUTCOME	False	False	3	no importance is reported; a non-estimable cell is never assigned zero importance
full	22	raw_edit_distance	850	212	0	0.0	1.0	NEAR_ZERO_VARIANCE	NON_ESTIMABLE	False	0.005980145145093		NOT_ESTIMABLE_CEILING_OR_SPARSE_OUTCOME	False	False	3	no importance is reported; a non-estimable cell is never assigned zero importance
ltm	19	raw_edit_distance	850	212	20	0.09433962264150944	1.0	OK	OK	False	0.1917057708092968	0.2022940543365288	ESTIMABLE	True	False	3	importance read from the validated A15 run
ltm	20	raw_edit_distance	850	212	20	0.09433962264150944	1.0	OK	OK	False	0.162218574298859	0.1624025965270449	ESTIMABLE	True	False	3	importance read from the validated A15 run
ltm	21	raw_edit_distance	850	212	16	0.07547169811320754	1.0	OK	OK	False	0.1711398434793036	0.1179353070990755	ESTIMABLE	True	False	3	importance read from the validated A15 run
ltm	22	raw_edit_distance	850	212	18	0.08490566037735849	1.0	OK	OK	False	0.1707379559173484	0.1502856700796914	ESTIMABLE	True	False	3	importance read from the validated A15 run
wm	19	raw_edit_distance	850	212	1	0.0047169811320754715	1.0	INSUFFICIENT_ERRORS	INSUFFICIENT_ERRORS	False	0.0118166740033117	0.013312268963861	NOT_ESTIMABLE_CEILING_OR_SPARSE_OUTCOME	False	False	3	no importance is reported; a non-estimable cell is never assigned zero importance
wm	20	raw_edit_distance	850	212	1	0.0047169811320754715	1.0	INSUFFICIENT_ERRORS	INSUFFICIENT_ERRORS	False	0.0130930402453582	0.0010077152548138	NOT_ESTIMABLE_CEILING_OR_SPARSE_OUTCOME	False	False	3	no importance is reported; a non-estimable cell is never assigned zero importance
wm	21	raw_edit_distance	850	212	1	0.0047169811320754715	1.0	INSUFFICIENT_ERRORS	INSUFFICIENT_ERRORS	True	0.0401730181553473	-0.025676385182735	NOT_ESTIMABLE_CEILING_OR_SPARSE_OUTCOME	False	False	3	no importance is reported; a non-estimable cell is never assigned zero importance
wm	22	raw_edit_distance	850	212	0	0.0	1.0	NEAR_ZERO_VARIANCE	NON_ESTIMABLE	False	0.0052703007726226		NOT_ESTIMABLE_CEILING_OR_SPARSE_OUTCOME	False	False	3	no importance is reported; a non-estimable cell is never assigned zero importance
