state_id	population	native_freear	n	retrieval_lexical_identity_correct	retrieval_lexical_wrong_phonology_correct	retrieval_phonology_wrong
W3_SRC	C_POPULATION	NATIVE_WRONG	3164	3160	0	4
W3_SRC	C_POPULATION	NATIVE_CORRECT	24817	24787	0	30
W3_SRC	NONCANONICAL_HOMOPHONE_MEMBERS	NATIVE_WRONG	35	0	35	0
W3_SRC	NONCANONICAL_HOMOPHONE_MEMBERS	NATIVE_CORRECT	1555	0	1547	8
W3_REP	C_POPULATION	NATIVE_WRONG	3159	3159	0	0
W3_REP	C_POPULATION	NATIVE_CORRECT	24822	24822	0	0
W3_REP	NONCANONICAL_HOMOPHONE_MEMBERS	NATIVE_WRONG	34	0	34	0
W3_REP	NONCANONICAL_HOMOPHONE_MEMBERS	NATIVE_CORRECT	1556	0	1556	0
W4_SRC	C_POPULATION	NATIVE_WRONG	3614	3609	0	5
W4_SRC	C_POPULATION	NATIVE_CORRECT	24367	24330	0	37
W4_SRC	NONCANONICAL_HOMOPHONE_MEMBERS	NATIVE_WRONG	33	0	33	0
W4_SRC	NONCANONICAL_HOMOPHONE_MEMBERS	NATIVE_CORRECT	1557	0	1548	9
W4_REP	C_POPULATION	NATIVE_WRONG	3628	3628	0	0
W4_REP	C_POPULATION	NATIVE_CORRECT	24353	24353	0	0
W4_REP	NONCANONICAL_HOMOPHONE_MEMBERS	NATIVE_WRONG	34	0	34	0
W4_REP	NONCANONICAL_HOMOPHONE_MEMBERS	NATIVE_CORRECT	1556	0	1556	0
