item_index	word	rank	target_phonemes	length	zipf_approx	is_word	gate	effective_ventral_weight	effective_dorsal_weight	lexical_confidence	lexical_margin	lexical_density	canonical_full_exact	canonical_full_predicted	canonical_wm_exact	canonical_wm_predicted	canonical_ltm_exact	canonical_ltm_predicted	canonical_fixed05_exact	canonical_fixed05_predicted	freear_full_exact	freear_full_predicted	freear_wm_exact	freear_wm_predicted	freear_ltm_exact	freear_ltm_predicted	freear_fixed05_exact	freear_fixed05_predicted	competence_category	competence_category_freear
0	the	1	DH AH	2	1.0	1	0.5643876194953918	0.5643876194953918	0.43561238050460815	0.8294942378997803	0.097065269947052	13.859317779541016	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	BOTH_CORRECT	BOTH_CORRECT
1	of	2	AH V	2	0.5	1	0.5626665949821472	0.5626665949821472	0.4373334050178528	0.825995683670044	0.16590100526809692	5.479585647583008	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	BOTH_CORRECT	BOTH_CORRECT
2	and	3	AH N D	3	0.333333	1	0.5466535687446594	0.5466535687446594	0.4533464312553406	0.7935793399810791	0.0928836464881897	15.60940933227539	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	BOTH_CORRECT	BOTH_CORRECT
3	to	4	T UW	2	0.25	1	0.5627900958061218	0.5627900958061218	0.4372099041938782	0.8262466788291931	0.02250617742538452	37.51708984375	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	BOTH_CORRECT	BOTH_CORRECT
4	in	5	IH N	2	0.2	1	0.5216357707977295	0.5216357707977295	0.4783642292022705	0.7432985901832581	0.05174672603607178	60.53520584106445	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	BOTH_CORRECT	BOTH_CORRECT
5	for	6	F AO R	3	0.166667	1	0.537489116191864	0.537489116191864	0.462510883808136	0.7751191854476929	0.06017082929611206	48.852752685546875	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	BOTH_CORRECT	BOTH_CORRECT
6	is	7	IH Z	2	0.142857	1	0.5434259176254272	0.5434259176254272	0.45657408237457275	0.787071168422699	0.10056352615356445	16.786718368530273	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	BOTH_CORRECT	BOTH_CORRECT
7	on	8	AA N	2	0.125	1	0.5337812304496765	0.5337812304496765	0.4662187695503235	0.7676655054092407	0.10664290189743042	24.40960693359375	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	BOTH_CORRECT	BOTH_CORRECT
8	that	9	DH AE T	3	0.111111	1	0.5821660757064819	0.5821660757064819	0.41783392429351807	0.8658358454704285	0.034565091133117676	28.873851776123047	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	BOTH_CORRECT	BOTH_CORRECT
9	by	10	B AY	2	0.1	1	0.4662700295448303	0.4662700295448303	0.5337299704551697	0.6324374675750732	0.013273119926452637	165.59701538085938	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	BOTH_CORRECT	BOTH_CORRECT
