category	figure_number	analysis	regime_kind	dataset_regime	source_stem	release_stem	purpose	main_finding	primary_limitation	reason_for_inclusion
MAIN	F1	A04	adapted	LICHTHEIM_CLEAN	reports/behavioral_wfe_fulllexicon_93a577f/figures/yair_clean_length_by_route	F1_yair_clean_length_by_route	Central route-specific length effect: mean edit distance vs phoneme length, FULL/WM/LTM, split by lexicality.	For trained real words FULL and WM are at exact ceiling and LTM shows only a very weak slope; for novel pseudowords LTM develops a large length effect while WM stays far more robust and FULL stays near ceiling.	Lexicality and training exposure are perfectly confounded in the clean set.	carries one of the six frozen main narrative points
MAIN	F2	A05	adapted	LICHTHEIM_CLEAN	reports/behavioral_wfe_fulllexicon_93a577f/figures/yair_clean_length_slopes	F2_yair_clean_length_slopes	Per-seed length slopes by route and the primary LTM-WM contrast.	LTM-WM pseudoword slope difference is positive in all four seeds (+0.183 to +0.246 edit operations per phoneme).	Trained real words are ceiling-limited under FULL and WM, so their zero slope is structural.	carries one of the six frozen main narrative points
MAIN	F3	A06	adapted	LICHTHEIM_CLEAN	reports/behavioral_wfe_fulllexicon_93a577f/figures/yair_clean_serial_position	F3_yair_clean_serial_position	Serial-position error profile by route and lexicality.	LTM pseudowords show a strong late-position increase; FULL and WM increase much less.	Zip-mismatch positions, no Levenshtein alignment; pooled over seeds.	carries one of the six frozen main narrative points
MAIN	F4	A17	adapted	LICHTHEIM_CLEAN	reports/behavioral_wfe_fulllexicon_93a577f/error_taxonomy/clean/figures/clean_error_taxonomy_by_route	F4_clean_error_taxonomy_by_route	Levenshtein operation taxonomy by route, lexicality and Short/Long, on one common absolute y-scale.	Substitutions dominate, then deletions, then insertions; the burden is concentrated in long LTM pseudowords.	editops tie-breaking moves counts between operation types without changing total edit distance; the forced-length horizon makes terminal insertions unobservable.	carries one of the six frozen main narrative points
MAIN	F5	A18	adapted	LICHTHEIM_CLEAN	reports/behavioral_wfe_fulllexicon_93a577f/error_taxonomy/eos/figures/premature_eos_by_route	F5_premature_eos_by_route	Premature end-of-sequence rate, shortfall and length slope by route.	87 observed events, 82 in LTM, all on pseudowords; the rate rises with length in LTM in all four seeds.	ON_TIME_EOS and LATE_EOS are structurally unobservable; EOS_NOT_OBSERVED is ambiguous; premature EOS is on only a minority of erroneous items.	carries one of the six frozen main narrative points
MAIN	F6	A14	adapted	TRAINED_REAL_FREQUENCY_PRIMARY	reports/behavioral_wfe_fulllexicon_93a577f/frequency/primary/figures/trained_real_frequency_by_route	F6_trained_real_frequency_by_route	Continuous Zipf frequency slope of edit distance for trained real words, by route.	LTM Zipf slope is negative in all four seeds (mean -0.0130); higher-frequency trained words have slightly fewer errors.	Rests on sparse errors; FULL and WM are ALL_ZERO_OUTCOME by ceiling.	carries one of the six frozen main narrative points
MAIN	F7	A15	adapted	LICHTHEIM_CLEAN	reports/behavioral_wfe_fulllexicon_93a577f/feature_importance/clean_joint/figures/clean_adapted_factor_importance	F7_clean_adapted_factor_importance	Adapted grouped factor importance: held-out R2 drop and MAE increase per raw factor.	Route and lexicality/exposure lead jointly, length is a stable third, morphology is negligible.	The route vs lexicality/exposure ordering is not resolved by these data; importance is unsigned.	carries one of the six frozen main narrative points
SUPPLEMENTARY	S1	A09	faithful	FAITHFUL_WFE_ALL	reports/behavioral_wfe_fulllexicon_93a577f/final_release/formatted_existing/figures/A09_faithful_figure2A	S1_A09_faithful_figure2A	Faithful Dager Figure 2A: mean edit distance by source lexicality, morphology and length, FULL route.	Errors appear only at length 9 in the source-pseudo condition (0.0947) and from length 7 in source-real (up to 0.0199).	Source Real/Pseudo labels are not training exposure: 122 source-real items were never trained.	scientifically useful but not required for the main narrative
SUPPLEMENTARY	S2	A10	faithful	FAITHFUL_WFE_ALL	reports/behavioral_wfe_fulllexicon_93a577f/final_release/formatted_existing/figures/A10_faithful_figure2C	S2_A10_faithful_figure2C	Faithful Dager Figure 2C: positional error rate by source lexicality and relative position.	Late-position rise in both source conditions, larger for source-pseudo (0.0417 at the final position of length 9).	Zip-mismatch positions with no alignment; pooled across seeds; distinct estimand from F3.	scientifically useful but not required for the main narrative
SUPPLEMENTARY	S3	A11	faithful	FAITHFUL_WFE_ALL	reports/behavioral_wfe_fulllexicon_93a577f/final_release/formatted_existing/figures/A11_faithful_figure2B	S3_A11_faithful_figure2B	Faithful Dager Figure 2B: Ridge coefficients and permutation importance for length, lexicality and morphology.	Length leads in all four seeds; lexicality and morphology are near zero and change sign.	Historical signed convention; never pooled with the adapted A15 and never on a common axis.	scientifically useful but not required for the main narrative
SUPPLEMENTARY	S4	A17	adapted	LICHTHEIM_CLEAN	reports/behavioral_wfe_fulllexicon_93a577f/error_taxonomy/clean/figures/clean_error_taxonomy_full_wm_zoom	S4_clean_error_taxonomy_full_wm_zoom	FULL/WM zoom companion to F4, created because the frozen >10x rule fired (ratio 22.95).	FULL and WM operation counts resolved on their own scale.	Companion only; it never replaces the common-scale F4.	scientifically useful but not required for the main narrative
SUPPLEMENTARY	S5	A16	faithful	FAITHFUL_WFE_ALL	reports/behavioral_wfe_fulllexicon_93a577f/error_taxonomy/faithful/figures/faithful_figure8a_error_types	S5_faithful_figure8a_error_types	Faithful Dager Figure 8A: error types across the twelve original WFE conditions, FULL route.	Only four of twelve conditions are non-zero, all of them long.	Source labels are not exposure; Figures 8B/8C concern ablated SWP models and are out of scope.	scientifically useful but not required for the main narrative
SUPPLEMENTARY	S6	A12	adapted	LICHTHEIM_CLEAN	reports/behavioral_wfe_fulllexicon_93a577f/morphology/clean_adapted/figures/clean_length_morphology_by_route	S6_clean_length_morphology_by_route	Adapted morphology x phoneme length by route.	No robust morphology contrast; every interval spans zero.	Trained real words are at ceiling under FULL and WM.	scientifically useful but not required for the main narrative
SUPPLEMENTARY	S7	A13	faithful	FAITHFUL_WFE_ALL	reports/behavioral_wfe_fulllexicon_93a577f/morphology/faithful_replication/figures/faithful_length_lexicality_morphology	S7_faithful_length_lexicality_morphology	Faithful morphology x length x source lexicality, FULL route.	Stimulus-level replication; no robust morphology effect.	Source labels are not exposure.	scientifically useful but not required for the main narrative
SUPPLEMENTARY	S8	A15	adapted	LICHTHEIM_CLEAN	reports/behavioral_wfe_fulllexicon_93a577f/feature_importance/route_specific/figures/route_specific_factor_importance	S8_route_specific_factor_importance	Adapted route-specific factor importance, one panel per route.	Only LTM is estimable: lexicality/exposure > length > morphology in all four seeds.	FULL and WM are ceiling and sparse-error limited and are labelled, never given an artificial zero.	scientifically useful but not required for the main narrative
SUPPLEMENTARY	S9	A15	adapted	LICHTHEIM_CLEAN	reports/behavioral_wfe_fulllexicon_93a577f/feature_importance/clean_interactions/figures/interaction_block_utility	S9_interaction_block_utility	Held-out drop-block utility of the five predeclared interaction blocks.	route x lexicality is the clearest stable block; the two length blocks are classified conservatively.	R2 and MAE disagree for route x length and lexicality x length.	scientifically useful but not required for the main narrative
