FIGURE_ID	RESULT_FAMILY	SCIENTIFIC_QUESTION	FILE	SOURCE_SCRIPT	NUMERIC_SOURCE	CHECKPOINT_COHORT	CODE_COMMIT	STATUS	PROPOSED_ROLE	REPRODUCIBLE_FROM_TRACKED_ARTIFACTS	LIMITATION	NOTES
mf2_stable_zero	model selection	Which checkpoints qualify, and under which criterion?	[feat/full-lexicon-ceiling] reports/behavioral_wfe_fulllexicon_93a577f/yair_corrections/meeting_figures/mf2_stable_zero_bottom_line.{pdf,png,svg}	scripts/make_meeting_figures.py	reports/behavioral_wfe_fulllexicon_93a577f/yair_corrections/stable_zero_audit/stable_zero_streaks.tsv, reports/behavioral_wfe_fulllexicon_93a577f/yair_corrections/stable_zero_audit/stable_zero_verdicts.tsv, reports/behavioral_wfe_fulllexicon_93a577f/yair_corrections/stable_zero_audit/stable_zero_trajectory.tsv	all 4 seeds x 20 evaluations (describes the policy itself)	02b6e21d757a1fb20a74fbb114a6468cfbd50f3a	MAIN	model-selection figure	yes	descriptive; read from audited trajectories only, nothing recomputed	the authoritative X=2/3/5 document; states that raising X changes no selected epoch
F1_length_by_route	behavioral	Route x phoneme length x lexicality: where does the length effect live?	[feat/full-lexicon-ceiling] reports/behavioral_wfe_fulllexicon_93a577f/final_release/figures/main/F1_yair_clean_length_by_route.{pdf,png,svg}	scripts/behavioral_analysis/plot_yair_corrections.py	reports/behavioral_wfe_fulllexicon_93a577f/figures/clean_length_slopes_by_seed.tsv	historical 4-checkpoint (19/155, 20/130, 21/145, 22/140) - NOT all canonical under X=5	4813289598fbec47c48d70b77217cd94e52b3243	MAIN	main figure - dorsal/ventral division of labour	yes (analysis layer; no checkpoint loaded)	lexicality is confounded with training exposure in the clean set; FULL/WM zeros are ceiling-limited, not evidence of absent length information	LTM pseudoword slope 0.197-0.256 per phoneme
F2_length_slopes	behavioral	Is the route difference in length sensitivity consistent across seeds?	[feat/full-lexicon-ceiling] reports/behavioral_wfe_fulllexicon_93a577f/final_release/figures/main/F2_yair_clean_length_slopes.{pdf,png,svg}	scripts/behavioral_analysis/plot_yair_corrections.py	reports/behavioral_wfe_fulllexicon_93a577f/figures/clean_route_length_contrasts.tsv	historical 4-checkpoint (19/155, 20/130, 21/145, 22/140) - NOT all canonical under X=5	4813289598fbec47c48d70b77217cd94e52b3243	MAIN	main figure - the primary contrast	yes	trained real words are ceiling-limited under FULL and WM, so their zero slope is structural	LTM-WM pseudoword slope difference +0.246/+0.183/+0.184/+0.205, same sign in all 4 seeds
F3_serial_position	behavioral	Where in the word do errors accumulate, by route?	[feat/full-lexicon-ceiling] reports/behavioral_wfe_fulllexicon_93a577f/final_release/figures/main/F3_yair_clean_serial_position.{pdf,png,svg}	scripts/behavioral_analysis/plot_yair_corrections.py	reports/behavioral_wfe_fulllexicon_93a577f/figures/yair_clean_serial_position_interpolated.tsv	historical 4-checkpoint (19/155, 20/130, 21/145, 22/140) - NOT all canonical under X=5	4813289598fbec47c48d70b77217cd94e52b3243	MAIN	main figure	yes	zip-mismatch positions with no Levenshtein alignment; pooled over seeds; DESCRIPTIVE_ONLY	LTM pseudowords rise strongly at late positions
F4_error_taxonomy	behavioral	What kind of errors, by route, lexicality and length?	[feat/full-lexicon-ceiling] reports/behavioral_wfe_fulllexicon_93a577f/final_release/figures/main/F4_clean_error_taxonomy_by_route.{pdf,png,svg}	scripts/behavioral_analysis/plot_error_taxonomy.py	reports/behavioral_wfe_fulllexicon_93a577f/error_taxonomy/clean/tables/clean_error_taxonomy_summary.tsv	historical 4-checkpoint (19/155, 20/130, 21/145, 22/140) - NOT all canonical under X=5	62ae51b4018e7ab35f6e6a69eae282db3d917f27	MAIN	main figure	yes	editops tie-breaking moves counts between operation types without changing total edit distance; the forced-length horizon makes terminal insertions unobservable	S4 is its FULL/WM zoom companion, on a separate scale
F5_premature_eos	behavioral	Does the model stop early, and where?	[feat/full-lexicon-ceiling] reports/behavioral_wfe_fulllexicon_93a577f/final_release/figures/main/F5_premature_eos_by_route.{pdf,png,svg}	scripts/behavioral_analysis/plot_error_taxonomy.py	reports/behavioral_wfe_fulllexicon_93a577f/error_taxonomy/eos/tables/premature_eos_by_seed_route.tsv	historical 4-checkpoint (19/155, 20/130, 21/145, 22/140) - NOT all canonical under X=5	62ae51b4018e7ab35f6e6a69eae282db3d917f27	MAIN	main figure	yes	ON_TIME and LATE EOS are structurally unobservable; EOS_NOT_OBSERVED is ambiguous; premature EOS covers only ~22% of erroneous LTM pseudoword items	87 events: 82 LTM, 3 FULL, 2 WM; zero on trained real words
F6_frequency_by_route	behavioral	Is there a frequency effect on trained real words, by route?	[feat/full-lexicon-ceiling] reports/behavioral_wfe_fulllexicon_93a577f/final_release/figures/main/F6_trained_real_frequency_by_route.{pdf,png,svg}	scripts/behavioral_analysis/plot_frequency.py	reports/behavioral_wfe_fulllexicon_93a577f/frequency/primary/tables/trained_real_frequency_bootstrap.tsv	historical 4-checkpoint (19/155, 20/130, 21/145, 22/140) - NOT all canonical under X=5	1aa1df8a36b6a28b50e7508eae099fd0c4a237e6	MAIN	main figure	yes	rests on sparse errors; FULL and WM are ALL_ZERO_OUTCOME by ceiling	LTM Zipf slope -0.0130, 95% bootstrap [-0.0288, -0.0027], negative in all 4 seeds
F7_factor_importance	behavioral	Which factors predict per-item error?	[feat/full-lexicon-ceiling] reports/behavioral_wfe_fulllexicon_93a577f/final_release/figures/main/F7_clean_adapted_factor_importance.{pdf,png,svg}	scripts/behavioral_analysis/plot_feature_importance.py	reports/behavioral_wfe_fulllexicon_93a577f/feature_importance/clean_joint/tables/clean_main_factor_importance.tsv	historical 4-checkpoint (19/155, 20/130, 21/145, 22/140) - NOT all canonical under X=5	f352de120bda68e3d8497c3ef17f98014d515037	MAIN	main figure	yes	the route vs lexicality/exposure ordering is NOT resolved by these data (gap 0.0064 < within-seed SD); importance is unsigned	route 0.0842, lexicality/exposure 0.0777, length 0.0473, morphology 0.0009
S1_S3_faithful_dager	behavioral	Faithful replication of the original Dager Figures 2A, 2C and 2B	[feat/full-lexicon-ceiling] reports/behavioral_wfe_fulllexicon_93a577f/final_release/figures/supplementary/S1_A09_faithful_figure2A.*, S2_A10_faithful_figure2C.*, S3_A11_faithful_figure2B.*	scripts/behavioral_analysis/final_release.py (rendering only; tables copied byte-identical)	reports/behavioral_wfe_fulllexicon_93a577f/final_release/formatted_existing/tables/faithful_figure2A_table.tsv, reports/behavioral_wfe_fulllexicon_93a577f/final_release/formatted_existing/tables/faithful_figure2B_feature_importance.tsv, reports/behavioral_wfe_fulllexicon_93a577f/final_release/formatted_existing/tables/faithful_figure2C_table.tsv	historical 4-checkpoint (19/155, 20/130, 21/145, 22/140) - NOT all canonical under X=5	4813289598fbec47c48d70b77217cd94e52b3243	SUPPLEMENTARY	supplementary S1-S3	yes	source Real/Pseudo labels are stimulus labels, NOT training exposure: 122 source-real items were never trained; historical signed convention retained in S3	grouped row: three faithful-replication figures sharing one caveat
S4_S12_adapted_supplementary	behavioral	Zoom, error types, morphology, route-specific importance, interactions, gate and exposure	[feat/full-lexicon-ceiling] reports/behavioral_wfe_fulllexicon_93a577f/final_release/figures/supplementary/S4_*, S5_*, S6_*, S7_*, S8_*, S9_*, S10_*, S11_*, S12_*	scripts/behavioral_analysis/ (plot_error_taxonomy, plot_morphology, plot_feature_importance, plot_frequency, plot_yair_corrections)	reports/behavioral_wfe_fulllexicon_93a577f/final_release/tables/final_figure_index.tsv (one row per figure, with its own numeric source)	historical 4-checkpoint (19/155, 20/130, 21/145, 22/140) - NOT all canonical under X=5	4813289598fbec47c48d70b77217cd94e52b3243	SUPPLEMENTARY	supplementary S4-S12	yes	S6/S7 morphology is NON_ESTIMABLE (every interval spans zero); S8 is estimable for LTM only; S10 gate and confidence are linked outcomes, not independent evidence; S12 has three strata with n<=7	grouped row; per-figure purpose, finding and limitation are in final_figure_index.tsv
